year,sightings_per_year
1947,35
1948,7
1949,16
1950,27
1951,20
1952,45
1953,31
1954,51
1955,31
1956,41
1957,69
1958,44
1959,49
1960,63
1961,48
1962,71
1963,82
1964,88
1965,184
1966,185
1967,184
1968,214
1969,155
1970,144
1971,128
1972,155
1973,222
1974,268
1975,311
1976,273
1977,264
1978,330
1979,244
1980,238
1981,163
1982,180
1983,148
1984,184
1985,215
1986,188
1987,223
1988,239
1989,243
1990,257
1991,234
1992,246
1993,300
1994,417
1995,1066
1996,822
1997,1242
1998,1739
1999,2788
2000,2751
2001,3108
2002,3210
2003,3935
2004,4218
2005,4038
2006,3680
2007,4243
2008,4777
2009,4508
2010,4258
2011,5076
2012,7308
2013,6988
